id,name
14099,Plumas National Forest
14137,Sierra National Forest
14138,Siskiyou National Forest
14143,Six Rivers National Forest
14153,Stanislaus National Forest
14196,Canilla Corp.
14200,Channel Islands National Park
14214,Eugene O'Neill Historic Site
14215,Fort Mason
14227,Hondo Canyon Open Space
14236,Joshua Tree National Park
14241,Kings Canyon National Park
14251,Malibu Creek Properties
14253,Manzanar National Historic Site
14257,Mojave National Preserve
14266,Point Reyes National Seashore
14271,Redwood National Park
14272,SMMNRA - Backbone Trail
14293,Sky Ridge
14304,Yellowhill
14310,Yosemite National Park
14320,Coal Oil Point Reserve
14326,Lick Observatory UCSC
14570,Tapo Canyon Park
14571,Toland Park
14873,Worsham Canyon Open Space
15175,16th Street Park
15176,19th Avenue Park
15190,298 Berkeley Way Open Space
15205,49'er Rotary Park
15206,575 Third St
15224,A Place to Play Park
15243,Acacia Park
15246,Acalanes Ridge Open Space
15273,Adobe Ridge Neighborhood Park
15316,Alamo Creek
15333,Alberhill Conservation Area
15368,Aliso and Wood Canyons Wilderness Park
15369,Aliso Canyon Community Park
15370,Aliso Canyon Park
15376,All American Park
15425,Altamont Park
15471,Anchor Street Park
15472,Andamar Park
15474,Anderprizes Mitigation Site
15483,Andreas Pico Adobe Park
15485,Andrew Spinas Park
15499,Anholm Park
15524,Antioch holding 1
15533,Anza-Borrego Foundation
15543,Applewhite Campground
15558,Arbor Park
15622,Arroyo Park
15627,Arroyo Seco
15667,Atherton Park
15668,Atherwood Park
15669,Athol Plaza Park
15683,Aubrey Park
15690,Auburn holding 4
15703,Audubon Overlook
15748,Baccilieri Park
15777,Baldwin Lake Ecological Reserve
15778,Baldwin Mini Park
15779,Baldwin Park
15790,Ballpark
15793,Bandel Park
15823,Barnett/pacific Mini-park
15824,Barney Schwartz Sports Park
15834,Barrigton Park
15837,Barstow Heights Park
15842,Bartlett Park
15844,Barton Park
15856,Bassett Park
15866,Battle Creek Public Access
15876,Bay Meadows West
15884,Bay View Playground
15891,Bayshore Circle Park
15904,Baywood Park
15919,Bean Creek Preserve
15920,Bear Brand Park
15947,Becky Temko Tot Park
15951,Beechey Field
15985,Bellenita Park
16019,Berens Park
16053,Beverly Glen East Open Space
16056,Beverly Hills Park
16058,Beverly Parkette
16073,Big Bear City Park
16083,Big Morongo Canyon Preserve
16085,Big River Salmon Creek
16129,Bitter Creek National Wildlife Refuge
16134,Black Mountain Ranch Open Space
16146,Blacow Park
16147,Blain Park
16176,Blue Gum Park
16177,Blue Jay Park
16194,Bluebird Preserve
16246,Bolsa Chica Park
16256,Bonita Canyon Maintenance Association 1
16261,Bonita Park
16271,Boorman Park
16301,Boundary Oak Golf Course
16318,Boysen Park
16325,Bradford Park
16326,Bradley Park
16327,Braly Park
16331,Branford Park
16342,Brea Junior High Park
16346,Breeze Hill Park
16415,Broderick Boat Ramp
16432,Brookside Park
16444,Browning Road Park
16447,Bruce's Beach
16467,Buccaneer Beach Access
16495,Buena Vista Park
16520,Burke Heritage Park
16521,Burke Park
16535,Burton W. Chace Park
16553,Butte holding 10
16588,Butte holding 43
16589,Butte holding 44
16590,Butte holding 46
16591,Butte holding 47
16592,Butte holding 48
16611,Buttermilk Country Wildlife Area
16612,Button Estates Park
16614,Buttonwillow Park
16623,C-Bar-C Park
16683,Cali Mill Plaza
16684,Caliente Ranch
16724,California State Lands Commission
16729,California Terrace Park
16731,Calipatria Little League Park/ Radamacher Park
16752,Cambridge Park
