suid_nma,park_name,Backpacking,Biking,Boating,Caving,Fishing,Hiking,Horseback Riding,Kayaking & Canoeing,Kiteboarding & Windsurfing,OHV,Climbing,Snow Sports,Surfing,Swimming,Whitewater Rafting & Kayaking,Wildlife Watching,Camping,Rustic Cabins,Historical Site,Camping URL
13801,Contra Loma Regional Park,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
13811,Folsom Lake State Recreation Area,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.hipcamp.com/ca/gold-country/folsom-lake#rpl=1
13813,Jenkinson Lake,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.edcgov.us/Living/Stories/Sly_Park/Jenkinson_Lake.aspx
13816,Lake Berryessa,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.usbr.gov/mp/ccao/berryessa/
13819,Lake Casitas Recreation Area,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.recreation.gov/recreationalAreaDetails.do?contractCode=NRSO&recAreaId=19&agencyCode=70905
13825,Millerton Lake State Recreation Area,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.hipcamp.com/ca/central-valley/millerton-lake
13827,New Hogan Lake,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.spk.usace.army.mil/Locations/SacramentoDistrictParks/NewHoganLake.aspx
13833,New Melones,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
13835,Picacho State Recreation Area,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.hipcamp.com/ca/deserts/picacho
13840,Salton Sea State Recreation Area,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,http://www.hipcamp.com/ca/deserts/salton-sea
13849,San Luis Reservoir State Recreation Area,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.hipcamp.com/ca/central-valley/san-luis-reservoir
